Region;Regional_Unit;Museum;Month;Year;Visitors
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;5;2024;1184
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;6;2024;299
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;7;2024;311
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;8;2024;447
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;9;2024;311
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;10;2024;560
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;11;2024;587
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;12;2024;452
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;1;2025;386
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;2;2025;546
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;3;2025;842
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;4;2025;1113
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;5;2025;1285
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;6;2025;603
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;7;2025;310
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;8;2025;541
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;9;2025;215
