Museum,Region,Regional_Unit,Place_ID,Google_Maps_URL,Name_Found,Address,Rating,Ratings_Total
Αρχαιολογική Συλλογή Ελάτειας,Στερεάς Ελλάδας,Φθιώτιδας,ChIJSYrYl66ZoBQR8_OGseysoAU,https://www.google.com/maps/place/?q=place_id:ChIJSYrYl66ZoBQR8_OGseysoAU,Archaeological Collection of Elateia,"Karaiskaki 14, Elatia 350 04, Greece",4.7,32
Αρχαιολογικό Μουσείο Αταλάντης,Στερεάς Ελλάδας,Φθιώτιδας,ChIJAUxF4oi_oBQREmN835DXSKM,https://www.google.com/maps/place/?q=place_id:ChIJAUxF4oi_oBQREmN835DXSKM,Archaeological Museum of Atalanti,"Velliou 21, Atalanti 352 00, Greece",4.6,154
Αρχαιολογικό Μουσείο Λαμίας,Στερεάς Ελλάδας,Φθιώτιδας,ChIJweTrrAZQXxMRu3Y2_mp6l08,https://www.google.com/maps/place/?q=place_id:ChIJweTrrAZQXxMRu3Y2_mp6l08,Archaeological Museum of Lamia,"Lamia 351 00, Greece",4.6,164
Βυζαντινό Μουσείο Φθιώτιδας (Υπάτη),Στερεάς Ελλάδας,Φθιώτιδας,ChIJ_Uynl6c4XxMR95VYDlj4jok,https://www.google.com/maps/place/?q=place_id:ChIJ_Uynl6c4XxMR95VYDlj4jok,Byzantine Museum of Phthiotis,"I, Ipati 350 16, Greece",4.8,58
Αρχαιολογικό Μουσείο Φλώρινας,Δυτικής Μακεδονίας,Φλώρινας,ChIJQUGz_BpBVxMRJSNiX0Pqy04,https://www.google.com/maps/place/?q=place_id:ChIJQUGz_BpBVxMRJSNiX0Pqy04,Archaeological Museum of Florina,"Sidirodromikou Stathmou 3, Florina 531 00, Greece",4.5,190
Αρχαιολογικό Μουσείο Άμφισσας,Στερεάς Ελλάδας,Φωκίδας,ChIJYWzHUyBxXxMRRbj4f04pw4k,https://www.google.com/maps/place/?q=place_id:ChIJYWzHUyBxXxMRRbj4f04pw4k,Archaeological Museum of Amphissa,"Kechagia 8, Amfissa 331 00, Greece",4.8,140
Αρχαιολογικό Μουσείο Δελφών,Στερεάς Ελλάδας,Φωκίδας,ChIJM-VvqXp5XxMRfkUS-0S-AGs,https://www.google.com/maps/place/?q=place_id:ChIJM-VvqXp5XxMRfkUS-0S-AGs,Delphi Archaeological Museum,"Delphi 330 54, Greece",4.7,15645
Μονή Ζυγού Ουρανούπολης,Κεντρικής Μακεδονίας,Χαλκιδικής,ChIJZx1wn7TJqBQRwys6tEgpdW4,https://www.google.com/maps/place/?q=place_id:ChIJZx1wn7TJqBQRwys6tEgpdW4,Monastery of Zygos (Frangokastro),"Ouranoupoli 630 75, Greece",4.5,402
Μουσείο σπηλαίου Πετραλώνων,Κεντρικής Μακεδονίας,Χαλκιδικής,ChIJX7yRDABvqBQR4nEgrfN769s,https://www.google.com/maps/place/?q=place_id:ChIJX7yRDABvqBQR4nEgrfN769s,Μουσείο Σπήλαιου Πετραλώνων,"Τοπική Κοινότητα Πετραλώνων, Triglia 630 80, Greece",4.8,17
Αρχαιολογικό Μουσείο Πολυγύρου,Κεντρικής Μακεδονίας,Χαλκιδικής,ChIJL97U2wWLqBQR4WKeTO56m-M,https://www.google.com/maps/place/?q=place_id:ChIJL97U2wWLqBQR4WKeTO56m-M,Archaeological Museum of Polygyros,"Σταδίου 1, Πλατεία Ηρώων, Poligiros 631 00, Greece",4.3,230
